Date,phy,zoo,nut
2007-06-25,3.824565843408403,0.0,0.11735000000000001
2007-07-05,5.799079999999999,0.0,0.37405
2007-07-09,2.9148373333333333,0.0,0.0766
2007-07-16,5.043948,0.0,0.0459
2007-07-23,15.130453333333334,0.0,0.1734
2007-07-30,5.404130666666667,0.0,0.49535
2007-08-06,6.814266666666666,0.0,0.38335
2007-08-13,13.657176939007458,0.0,0.1734
2007-08-17,10.8472,0.364,0.11220000000000001
2007-08-25,3.643546666666667,0.364,0.1582
2007-08-30,2.319632,1.091,0.4156500000000001
2007-09-07,12.961013333333335,0.47290000000000004,2.4747500000000002
2007-09-19,18.328986666666665,2.9101,3.9433
2007-09-24,13.711973333333333,8.1483,0.1071
2007-10-01,16.159546666666667,9.3123,1.49365
2007-10-09,3.9341959999999996,,5.996650000000001
2007-10-15,,7.9664,
2007-10-18,12.933200000000001,3.5286,6.0655
2007-10-25,9.92936,13.095799999999999,6.0925
2007-10-30,6.84208,89.0872,10.82975
2007-11-06,6.269125333333334,15.3874,15.80725
2007-11-13,4.5057599999999995,19.825899999999997,15.72775
2007-11-20,3.4822293333333327,0.8366,23.564
2007-11-28,,,15.251249999999999
2007-11-29,2.6867680000000003,0.0364,
2007-12-05,3.0260906666666667,0.7275,14.8765
2007-12-12,5.7712666666666665,2.546,14.45975
2007-12-19,7.510056565238319,0.7275,15.241500000000002
2008-01-02,48.03362666666667,0.0,0.30074999999999996
2008-01-09,36.88048,0.0,0.21600000000000003
2008-01-15,,0.0,
2008-01-16,24.586986666666665,,
2008-01-23,3.3264746666666665,,0.5135000000000001
2008-01-30,7.064586666666667,0.0,1.73625
2008-02-06,12.126613333333333,,0.364
2008-02-07,,0.0,
2008-02-14,30.316533333333336,0.0,0.16525
2008-02-19,30.622479999999996,0.0,
2008-02-27,29.98277333333333,0.0,0.5105
2008-03-01,,,0.18325000000000002
2008-03-03,,0.0,
2008-03-10,20.359360000000002,0.0,0.31200000000000006
2008-03-19,18.273359999999997,0.0,
2008-03-24,15.519840000000002,,0.7792500000000002
2008-03-28,,0.0,
2008-03-31,7.34272,0.0,0.15100000000000002
2008-04-07,16.409866666666662,0.0,0.25625
2008-04-14,8.065866666666667,0.3638,
2008-04-21,,0.0,
2008-04-29,7.203653333333333,,
2008-05-02,,,
2008-05-07,,0.0,
2008-05-15,6.079994666666667,0.0,1.9795
2008-05-20,3.790957333333333,0.0,1.3194500000000002
2008-05-27,3.932805333333333,0.0,0.21400000000000002
2008-06-04,,0.7275,0.4717
2008-06-10,2.672861333333333,0.2546,0.36635
2008-06-17,,169.0001,
2008-06-18,8.955893333333334,,
2008-06-22,4.224845333333334,,0.2585
2008-06-23,,319.92,
2008-07-02,2.6144533333333335,882.994,0.3814
2008-07-07,,24.2183,
2008-07-08,5.963178666666667,,0.0713
2008-07-15,4.247096,60.20569999999999,0.21280000000000004
2008-07-22,6.786453333333333,88.21340000000001,0.3769
2008-07-29,12.9332,133.404,0.5446
2008-08-05,6.814266666666666,6.7658000000000005,0.1272
2008-08-13,18.21773333333333,4.8381,0.30989999999999995
2008-08-19,,2.6205,
2008-08-20,7.345501333333334,,
